MonthlyRevenue,MonthlyMinutes,TotalRecurringCharge,DroppedCalls,BlockedCalls,CustomerCareCalls,RoamingCalls,MonthsInService,Handsets,CurrentEquipmentDays,AgeHH1,ChildrenInHH,IncomeGroup,Occupation,MaritalStatus,Homeowner,HasCreditCard,OwnsComputer,Churn,OverageMinutes,PercentChangeMinutes,PercentChangeRevenues,UnansweredCalls,ThreewayCalls,ReceivedCalls,OutboundCalls,InboundCalls,PeakCallsInOut,PeakCallsIn,PeakCallsOut,OffPeakCallsInOut,OffPeakCallsIn,OffPeakCallsOut,DroppedBlockedRate,CallForwardingCalls,CallWaitingCalls,UniqueSubs,ActiveSubs,ServiceArea,HandsetModels,AgeHH2,RetentionCalls,RetentionOffersAccepted,ResponseTime,ServiceAdj,AdjustmentsToCreditRating,DirectorAssistedCalls,TruckOwner,RVOwner,BuysViaMailOrder,RespondsToMailOffers,OptOutMailings,NonUSTravel,NewCellphoneUser,NotNewCellphoneUser,OwnsMotorcycle,MadeCallToRetentionTeam,HandsetRefurbished,HandsetWebCapable,CreditRating
23.463404498842955,233.9156500045399,52.37308257642504,3,2,6,0,20,3,751,58,1,7,Skilled,Married,No,Yes,Yes,0,144.18008411387615,0.20179714921598535,0.3880361735787349,3,1,12,10,9,12,6,1,4,0,1,0.29601007930236733,0,0,1,2,540,4,0,0,0,2.140508432805365,4.3050557437496,0,0,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,C
150.50607154587604,202.41672599600224,8.15874266124186,4,1,3,0,7,2,401,43,2,4,Professional,Divorced,No,No,No,1,5.15905976605433,0.2846953612722739,0.4027411311167919,2,0,5,14,15,12,3,1,6,1,2,0.009994052680606548,0,1,3,3,613,9,55,0,0,3.234521170511375,-9.778707413121467,0,0,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,D
65.83728467727246,96.88577676878353,17.02506128600499,1,0,3,0,7,1,907,68,0,8,Professional,Married,No,Yes,Yes,0,34.47060061734819,0.7811859377150787,-0.4137093409555985,3,1,11,16,8,7,8,3,5,4,2,0.013099980929869965,0,0,3,1,983,3,43,1,0,0.8099750018935236,-6.735144869398759,0,1,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,D
45.64712768879766,467.31222365429875,43.54021783515502,5,1,4,0,16,1,131,46,0,7,Skilled,Married,No,Yes,Yes,0,101.73482549300365,-0.007604709400720833,0.27496515628227214,0,1,6,12,10,13,5,0,2,3,2,0.35697654446376725,0,0,3,3,848,9,21,0,0,0.3875913533321446,7.3810531672036035,0,0,No,No,No,Yes,No,No,No,No,No,No,No,Yes,D
8.481243523117314,323.7277253240918,26.318101255039586,0,1,4,1,27,3,698,55,0,1,Retired,Divorced,Yes,No,Yes,0,192.31560458718556,-0.0460743843351914,-0.46695990657780806,2,1,4,9,10,5,4,4,4,2,4,0.005775159998884361,0,0,2,2,225,6,0,0,0,0.4066206548736976,-1.084525222442812,0,1,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,C
8.479814595730259,1003.8432821705147,53.663707625703225,3,0,3,0,3,3,837,24,1,7,Skilled,Married,No,No,Yes,1,44.66695704205006,0.6531551913836924,-0.127259878177801,2,0,9,10,5,3,1,5,7,3,3,0.099441569409007,0,0,2,3,722,5,39,0,1,1.3186279074985983,-1.584197098671984,0,0,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,B
2.991938430434034,16.318200545416794,129.98154771418908,3,2,6,0,70,2,204,57,0,4,Retired,Married,Yes,Yes,Yes,0,107.33489506235246,-0.09821284957351034,-0.274650865097657,2,0,8,15,9,5,3,10,4,4,0,0.02627658232585015,1,0,1,3,530,6,40,0,3,0.43733133393643525,-9.594610157118467,1,1,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,B
100.56154322399698,516.226813458098,4.956673306612466,2,1,1,1,21,4,724,41,4,1,Retired,Married,No,No,Yes,1,112.2778160651666,-0.28557828892564147,0.48087756724872377,4,0,11,13,9,6,3,1,4,3,4,0.07505145734670571,0,1,3,3,209,3,0,0,0,3.051590698209548,9.130678348632713,0,0,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,A
45.954107681363226,719.7397293122885,49.45539331128777,1,0,6,0,58,1,353,50,3,1,Unskilled,Divorced,Yes,No,Yes,1,156.69556276772195,0.6569855398423248,-0.3151420093167606,1,0,11,24,8,8,2,2,3,2,1,0.01572861232060224,0,1,2,2,876,5,0,1,0,1.3423507436947635,7.9968064717666785,0,1,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,D
61.562503085229515,712.4896728123755,10.472472776604496,0,2,2,1,33,3,705,35,2,2,Retired,Single,Yes,Yes,Yes,0,140.87398757607124,0.4269397853998841,0.4409819176895403,5,0,9,11,13,10,5,5,5,3,2,0.10326837006915067,0,0,3,1,123,7,0,0,1,4.837982723433371,9.041082102262337,0,0,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,D
